host_response_time,host_response_rate,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,year,month
within an hour,100%,f,9,-22.98151926,-43.19018479,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Long term stays allowed""}",,$109.00 ,$0.00 ,$100.00 ,2,$188.00 ,4,5,88,10,10,10,10,9,9,t,f,strict,2018,4
within an hour,100%,f,1,-22.98238375,-43.19366318,Apartment,Entire home/apt,4,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$305.00 ,,,4,$342.00 ,5,83,96,10,10,10,10,10,10,t,f,strict,2018,4
within a few hours,100%,f,1,-22.98118717,-43.1937267,Apartment,Entire home/apt,12,4,4,8,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace""}",3122,$379.00 ,"$2,105.00 ",$379.00 ,6,$76.00 ,2,101,86,9,9,10,10,9,9,t,f,strict,2018,4
within an hour,100%,t,6,-22.92874869,-43.19341176,Bed and breakfast,Private room,16,5,7,10,Real Bed,"{Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Wide entryway""}",0,$168.00 ,,,2,$42.00 ,1,161,95,10,9,10,10,9,9,f,f,moderate,2018,4
,,f,1,-22.97677505,-43.19208215,Apartment,Private room,2,1.5,1,1,Real Bed,"{TV,Internet,Wifi,Kitchen,Elevator,""Family/kid friendly"",Washer}",,$201.00 ,,$150.00 ,1,$200.00 ,2,5,80,8,8,10,9,10,9,f,f,moderate,2018,4
,,f,2,-22.9178863,-43.18059102,Villa,Private room,2,1,1,1,Real Bed,"{Wifi,""Air conditioning"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}",151,$400.00 ,,,1,$0.00 ,2,0,,,,,,,,f,f,strict,2018,4
within an hour,100%,f,3,-22.91431202,-43.18884415,Apartment,Entire home/apt,2,1,1,2,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}",194,$79.00 ,$0.00 ,$150.00 ,2,$50.00 ,7,76,95,10,9,10,10,8,9,f,f,strict,2018,4
within a few hours,100%,f,7,-22.9762875,-43.23145353,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you""}",,$140.00 ,$0.00 ,$120.00 ,2,$25.00 ,5,18,92,9,9,10,10,10,9,f,f,strict,2018,4
,,f,2,-22.9251943,-43.19118336,Apartment,Private room,2,2,1,1,Real Bed,"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",""Suitable for events"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}",,$68.00 ,$683.00 ,$102.00 ,1,$38.00 ,2,12,94,9,7,9,10,9,8,t,f,moderate,2018,4
within a day,100%,f,4,-22.96924906,-43.18283458,Apartment,Entire home/apt,5,2,2,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""Hair dryer"",Iron,""Bed linens"",""Extra pillows and blankets""}",,$280.00 ,,$171.00 ,1,$0.00 ,3,20,93,10,8,10,10,10,9,f,f,strict,2018,4
within a few hours,100%,f,3,-22.98548764,-43.19294505,Apartment,Entire home/apt,2,1,1,1,Futon,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""High chair"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway"",""Host greets you"",""Handheld shower head""}",,$239.00 ,$0.00 ,$0.00 ,2,$80.00 ,2,0,,,,,,,,t,f,strict,2018,4
within an hour,100%,f,7,-22.98269739,-43.21908032,Apartment,Entire home/apt,4,1,1,3,Real Bed,"{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Pack ’n Play/travel crib"",""Hot water"",Microwave,""Coffee maker"",""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",Waterfront,Beachfront}",646,$301.00 ,$330.00 ,$130.00 ,2,$20.00 ,2,41,89,9,9,9,9,10,8,t,f,strict,2018,4
,,f,1,-22.97352202,-43.38241706,Apartment,Private room,2,2,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Gym,Elevator,""Indoor fireplace"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,$512.00 ,$0.00 ,$0.00 ,1,$171.00 ,1,0,,,,,,,,f,f,flexible,2018,4
